School Name,EIIN,Video Name,Location,Player Time,PC Time Start,Player End Time,PC End Time,Total Time
"Monipur High School","123456","Sample Video","videos/sample.mp4","0","2023-07-13 10:00:00","60","2023-07-13 10:01:00","1.00"
"Monipur High School","123456","Sentence_ Introduction and Parts of Sentences _ Sentence in English Grammar","../G8-10/Sentence_ Introduction and Parts of Sentences _ Sentence in English Grammar.mp4","0","7/13/2023; 3:56:36 PM","1.32","7/13/2023; 3:56:37 PM","0.02"
"Monipur High School","123456","Articles_ Uses of The _ 2 _ Article in English Grammar","../G8-10/Articles_ Uses of The _ 2 _ Article in English Grammar.mp4","0","7/13/2023; 4:14:46 PM","4.46","7/13/2023; 4:14:51 PM","0.07"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","6/15/2023; 3:06:36 PM","3.222273","6/15/2023; 3:06:39 PM","3.222273"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.4143210000000002"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.708384","6/15/2023; 3:07:16 PM","15.234136","6/15/2023; 3:07:27 PM","10.525752"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.414321"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","7/4/2023; 5:36:21 PM","4.779131","7/4/2023; 5:36:26 PM","4.779131"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.779148","7/4/2023; 5:37:35 PM","9.445875","7/4/2023; 5:37:40 PM","4.666726999999999"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","6/15/2023; 3:06:36 PM","3.222273","6/15/2023; 3:06:39 PM","3.222273"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.414321"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.708384","6/15/2023; 3:07:16 PM","15.234136","6/15/2023; 3:07:27 PM","10.525752"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.414321"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","7/4/2023; 5:36:21 PM","4.779131","7/4/2023; 5:36:26 PM","4.779131"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.779148","7/4/2023; 5:37:35 PM","9.445875","7/4/2023; 5:37:40 PM","4.666727"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","9.445883","7/4/2023; 5:39:53 PM","12.161818","7/4/2023; 5:39:56 PM","2.715935"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","29.445883","7/4/2023; 5:39:53 PM","12.161818","7/4/2023; 5:39:56 PM","2.715935"
"Dhanmondi boys school","56776","Sample Video","videos/sample.mp4","0","2023-07-13 10:00:00","60","2023-07-13 10:01:00","1.00"
"Dhanmondi boys school","56776","Sentence_ Introduction and Parts of Sentences _ Sentence in English Grammar","../G8-10/Sentence_ Introduction and Parts of Sentences _ Sentence in English Grammar.mp4","0","7/13/2023; 3:56:36 PM","1.32","7/13/2023; 3:56:37 PM","0.02"
"Dhanmondi boys school","56776","Articles_ Uses of The _ 2 _ Article in English Grammar","../G8-10/Articles_ Uses of The _ 2 _ Article in English Grammar.mp4","0","7/13/2023; 4:14:46 PM","4.46","7/13/2023; 4:14:51 PM","0.07"
"Dhanmondi boys school","56776","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","6/15/2023; 3:06:36 PM","3.222273","6/15/2023; 3:06:39 PM","3.222273"
"Dhanmondi boys school","56776","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.4143210000000002"
"Dhanmondi boys school","56776","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.708384","6/15/2023; 3:07:16 PM","15.234136","6/15/2023; 3:07:27 PM","10.525752"
"Dhanmondi boys school","56776","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.414321"
"Dhanmondi boys school","56776","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","7/4/2023; 5:36:21 PM","4.779131","7/4/2023; 5:36:26 PM","4.779131"
"Dhanmondi boys school","56776","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.779148","7/4/2023; 5:37:35 PM","9.445875","7/4/2023; 5:37:40 PM","4.666726999999999"
"Dhanmondi boys school","56776","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","6/15/2023; 3:06:36 PM","3.222273","6/15/2023; 3:06:39 PM","3.222273"
"Dhanmondi boys school","56776","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.414321"
"Dhanmondi boys school","56776","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.708384","6/15/2023; 3:07:16 PM","15.234136","6/15/2023; 3:07:27 PM","10.525752"
"Dhanmondi boys school","56776","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.414321"
"Dhanmondi boys school","56776","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","7/4/2023; 5:36:21 PM","4.779131","7/4/2023; 5:36:26 PM","4.779131"
"Dhanmondi boys school","56776","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.779148","7/4/2023; 5:37:35 PM","9.445875","7/4/2023; 5:37:40 PM","4.666727"
"Dhanmondi boys school","56776","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","9.445883","7/4/2023; 5:39:53 PM","12.161818","7/4/2023; 5:39:56 PM","2.715935"
"Dhanmondi boys school","56776","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","29.445883","7/4/2023; 5:39:53 PM","12.161818","7/4/2023; 5:39:56 PM","2.715935"
"Mastermind School","4589455","Sample Video","videos/sample.mp4","0","2023-07-13 10:00:00","60","2023-07-13 10:01:00","1.00"
"Mastermind School","4589455","Sentence_ Introduction and Parts of Sentences _ Sentence in English Grammar","../G8-10/Sentence_ Introduction and Parts of Sentences _ Sentence in English Grammar.mp4","0","7/13/2023; 3:56:36 PM","1.32","7/13/2023; 3:56:37 PM","0.02"
"Mastermind School","4589455","Articles_ Uses of The _ 2 _ Article in English Grammar","../G8-10/Articles_ Uses of The _ 2 _ Article in English Grammar.mp4","0","7/13/2023; 4:14:46 PM","4.46","7/13/2023; 4:14:51 PM","0.07"
"Mastermind School","4589455","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","6/15/2023; 3:06:36 PM","3.222273","6/15/2023; 3:06:39 PM","3.222273"
"Mastermind School","4589455","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.4143210000000002"
"Mastermind School","4589455","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.708384","6/15/2023; 3:07:16 PM","15.234136","6/15/2023; 3:07:27 PM","10.525752"
"Mastermind School","4589455","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.414321"
"Mastermind School","4589455","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","7/4/2023; 5:36:21 PM","4.779131","7/4/2023; 5:36:26 PM","4.779131"
"Mastermind School","4589455","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.779148","7/4/2023; 5:37:35 PM","9.445875","7/4/2023; 5:37:40 PM","4.666726999999999"
"Mastermind School","4589455","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","6/15/2023; 3:06:36 PM","3.222273","6/15/2023; 3:06:39 PM","3.222273"
"Mastermind School","4589455","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.414321"
"Mastermind School","4589455","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.708384","6/15/2023; 3:07:16 PM","15.234136","6/15/2023; 3:07:27 PM","10.525752"
"Mastermind School","4589455","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.414321"
"Mastermind School","4589455","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","7/4/2023; 5:36:21 PM","4.779131","7/4/2023; 5:36:26 PM","4.779131"
"Mastermind School","4589455","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.779148","7/4/2023; 5:37:35 PM","9.445875","7/4/2023; 5:37:40 PM","4.666727"
"Mastermind School","4589455","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","9.445883","7/4/2023; 5:39:53 PM","12.161818","7/4/2023; 5:39:56 PM","2.715935"
"Mastermind School","4589455","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","29.445883","7/4/2023; 5:39:53 PM","12.161818","7/4/2023; 5:39:56 PM","2.715935"
"sunbeems","457885","Sample Video","videos/sample.mp4","0","2023-07-13 10:00:00","60","2023-07-13 10:01:00","1.00"
"sunbeems","457885","Sentence_ Introduction and Parts of Sentences _ Sentence in English Grammar","../G8-10/Sentence_ Introduction and Parts of Sentences _ Sentence in English Grammar.mp4","0","7/13/2023; 3:56:36 PM","1.32","7/13/2023; 3:56:37 PM","0.02"
"sunbeems","457885","Articles_ Uses of The _ 2 _ Article in English Grammar","../G8-10/Articles_ Uses of The _ 2 _ Article in English Grammar.mp4","0","7/13/2023; 4:14:46 PM","4.46","7/13/2023; 4:14:51 PM","0.07"
"sunbeems","457885","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","6/15/2023; 3:06:36 PM","3.222273","6/15/2023; 3:06:39 PM","3.222273"
"sunbeems","457885","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.4143210000000002"
"sunbeems","457885","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.708384","6/15/2023; 3:07:16 PM","15.234136","6/15/2023; 3:07:27 PM","10.525752"
"sunbeems","457885","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.414321"
"sunbeems","457885","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","7/4/2023; 5:36:21 PM","4.779131","7/4/2023; 5:36:26 PM","4.779131"
"sunbeems","457885","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.779148","7/4/2023; 5:37:35 PM","9.445875","7/4/2023; 5:37:40 PM","4.666726999999999"
"sunbeems","457885","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","6/15/2023; 3:06:36 PM","3.222273","6/15/2023; 3:06:39 PM","3.222273"
"sunbeems","457885","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.414321"
"sunbeems","457885","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.708384","6/15/2023; 3:07:16 PM","15.234136","6/15/2023; 3:07:27 PM","10.525752"
"sunbeems","457885","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.414321"
"sunbeems","457885","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","7/4/2023; 5:36:21 PM","4.779131","7/4/2023; 5:36:26 PM","4.779131"
"sunbeems","457885","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.779148","7/4/2023; 5:37:35 PM","9.445875","7/4/2023; 5:37:40 PM","4.666727"
"sunbeems","457885","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","9.445883","7/4/2023; 5:39:53 PM","12.161818","7/4/2023; 5:39:56 PM","2.715935"
"sunbeems","457885","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","29.445883","7/4/2023; 5:39:53 PM","12.161818","7/4/2023; 5:39:56 PM","2.715935"
