"video_name","location","pl_start","start_date_time","pl_end","end_date_time","duration"
"অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ২ [SSC]","../G9-10/অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ২ [SSC].mp4","0","7/17/2023, 6:03:57 PM","1.05","7/17/2023, 6:03:58 PM","0.02"
"৫) অধ্যায় ৩_বীজগাণিতিক রাশি - ভাগশেষ উপপাদ্য এবং গাণিতিক উদাহরণ ৩.৪ - পর্ব ৫ [SSC]","../G9-10/৫) অধ্যায় ৩_বীজগাণিতিক রাশি - ভাগশেষ উপপাদ্য এবং গাণিতিক উদাহরণ ৩.৪ - পর্ব ৫ [SSC].mp4","0","7/17/2023, 6:20:53 PM","1.45","7/17/2023, 6:20:54 PM","0.02"
"৫) অধ্যায় ৩_বীজগাণিতিক রাশি - ভাগশেষ উপপাদ্য এবং গাণিতিক উদাহরণ ৩.৪ - পর্ব ৫ [SSC]","../G9-10/৫) অধ্যায় ৩_বীজগাণিতিক রাশি - ভাগশেষ উপপাদ্য এবং গাণিতিক উদাহরণ ৩.৪ - পর্ব ৫ [SSC].mp4","1.45","7/17/2023, 6:22:00 PM","2.31","7/17/2023, 6:22:01 PM","0.01"
"অধ্যায় ৬_রেখা, কোণ ও ত্রিভুজ- (৬.২ ও ৬.৩)- পর্ব ২ ​[SSC]","../G9-10/অধ্যায় ৬_রেখা, কোণ ও ত্রিভুজ- (৬.২ ও ৬.৩)- পর্ব ২ ​[SSC].mp4","0","7/17/2023, 6:22:59 PM","3.43","7/17/2023, 6:23:03 PM","0.06"
"অধ্যায় ১৪_অনুপাত , সদৃশতা ও প্রতিসমতা- (১৪.১)- উপপাদ্য ১, ২, ৩ [SSC]","../G9-10/অধ্যায় ১৪_অনুপাত , সদৃশতা ও প্রতিসমতা- (১৪.১)- উপপাদ্য ১, ২, ৩ [SSC].mp4","0","7/17/2023, 6:23:47 PM","3.45","7/17/2023, 6:23:51 PM","0.06"
"১) অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ১ [SSC]","../G9-10/১) অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ১ [SSC].mp4","0","7/17/2023, 6:25:31 PM","0.99","7/17/2023, 6:25:33 PM","0.02"
"৩) অধ্যায় - ২_ফাংশন - পর্ব ৩ [SSC]","../G9-10/৩) অধ্যায় - ২_ফাংশন - পর্ব ৩ [SSC].mp4","0","7/17/2023, 6:25:41 PM","1","7/17/2023, 6:25:42 PM","0.02"
"৫) অধ্যায় ৪_সূচক ও লগারিদম - পর্ব ৫ (৪.২ - লগারিদমের পরিচিতি ও সূত্র) [SSC]","../G9-10/৫) অধ্যায় ৪_সূচক ও লগারিদম - পর্ব ৫ (৪.২ - লগারিদমের পরিচিতি ও সূত্র) [SSC].mp4","0","7/17/2023, 6:25:58 PM","1.17","7/17/2023, 6:25:59 PM","0.02"
"২) অধ্যায় ৮_বৃত্ত - পর্ব ২ (৮.১ - উপপাদ্য অনুশীলনী, বৃত্তচাপ, কেন্দ্রস্থ ও বৃত্তস্থ কোণ)","../G9-10/২) অধ্যায় ৮_বৃত্ত - পর্ব ২ (৮.১ - উপপাদ্য অনুশীলনী, বৃত্তচাপ, কেন্দ্রস্থ ও বৃত্তস্থ কোণ).mp4","0","7/17/2023, 6:26:13 PM","1.89","7/17/2023, 6:26:15 PM","0.03"
"০৭.০৩. অধ্যায় ৭_ব্যবহারিক জ্যামিতি- (৭.১)- ত্রিভুজ অঙ্কন অনুশীলনী - পর্ব ৩ [SSC]","../G9-10/০৭.০৩. অধ্যায় ৭_ব্যবহারিক জ্যামিতি- (৭.১)- ত্রিভুজ অঙ্কন অনুশীলনী - পর্ব ৩ [SSC].mp4","0","7/17/2023, 6:26:26 PM","0.95","7/17/2023, 6:26:27 PM","0.02"
"০৭.০৩. অধ্যায় ৭_ব্যবহারিক জ্যামিতি- (৭.১)- ত্রিভুজ অঙ্কন অনুশীলনী - পর্ব ৩ [SSC]","../G9-10/০৭.০৩. অধ্যায় ৭_ব্যবহারিক জ্যামিতি- (৭.১)- ত্রিভুজ অঙ্কন অনুশীলনী - পর্ব ৩ [SSC].mp4","1.03","7/17/2023, 6:26:28 PM","11.7","7/17/2023, 6:26:39 PM","0.18"
"২) অধ্যায় ৮_বৃত্ত - পর্ব ২ (৮.১ - উপপাদ্য অনুশীলনী, বৃত্তচাপ, কেন্দ্রস্থ ও বৃত্তস্থ কোণ)","../G9-10/২) অধ্যায় ৮_বৃত্ত - পর্ব ২ (৮.১ - উপপাদ্য অনুশীলনী, বৃত্তচাপ, কেন্দ্রস্থ ও বৃত্তস্থ কোণ).mp4","1.96","7/17/2023, 6:26:17 PM","873.51","7/17/2023, 6:40:48 PM","14.53"
"২) অধ্যায় ৮_বৃত্ত - পর্ব ২ (৮.১ - উপপাদ্য অনুশীলনী, বৃত্তচাপ, কেন্দ্রস্থ ও বৃত্তস্থ কোণ)","../G9-10/২) অধ্যায় ৮_বৃত্ত - পর্ব ২ (৮.১ - উপপাদ্য অনুশীলনী, বৃত্তচাপ, কেন্দ্রস্থ ও বৃত্তস্থ কোণ).mp4","1.96","7/17/2023, 6:26:17 PM","873.51","7/17/2023, 6:40:48 PM","14.53"
"৩) অধ্যায় - ২_ফাংশন - পর্ব ৩ [SSC]","../G9-10/৩) অধ্যায় - ২_ফাংশন - পর্ব ৩ [SSC].mp4","1.07","7/17/2023, 6:25:44 PM","1338.11","7/17/2023, 6:48:01 PM","22.28"
"৩) অধ্যায় - ২_ফাংশন - পর্ব ৩ [SSC]","../G9-10/৩) অধ্যায় - ২_ফাংশন - পর্ব ৩ [SSC].mp4","1.07","7/17/2023, 6:25:44 PM","1338.11","7/17/2023, 6:48:01 PM","22.28"
"১) অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ১ [SSC]","../G9-10/১) অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ১ [SSC].mp4","1.06","7/17/2023, 6:25:34 PM","1457.76","7/17/2023, 6:49:08 PM","24.28"
"১) অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ১ [SSC]","../G9-10/১) অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ১ [SSC].mp4","1505.6","7/17/2023, 6:49:08 PM","1520.18","7/17/2023, 6:49:23 PM","0.24"
"১) অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ১ [SSC]","../G9-10/১) অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ১ [SSC].mp4","1505.6","7/17/2023, 6:49:08 PM","1520.18","7/17/2023, 6:49:23 PM","0.24"
"১) অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ১ [SSC]","../G9-10/১) অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ১ [SSC].mp4","1516.54","7/17/2023, 6:49:45 PM","1520.18","7/17/2023, 6:49:49 PM","0.06"
